region,price,bedrooms,bathrooms,mainroad,guestroom,basement,airconditioning,parking,furnishingstatus
West,"£1,015,000",5,3,yes,no,no,no,0,unfurnished
North,"£980,000",4,1,yes,yes,yes,yes,2,furnished
Northwest,"£910,000",3,2,yes,yes,no,yes,1,unfurnished
West,"£868,000",3,1,yes,no,yes,yes,2,furnished
Southeast,"£840,000",4,3,yes,yes,yes,no,2,semi-furnished
London,"£840,000",4,2,yes,no,no,yes,1,semi-furnished
Southwest,"£819,000",4,2,yes,no,no,no,2,furnished
Northeast,"£796,250",3,2,yes,no,no,no,0,semi-furnished
Southeast,"£770,000",4,1,yes,no,yes,no,2,semi-furnished
London,"£745,500",4,2,yes,yes,yes,yes,1,unfurnished
North,"£742,000",3,2,yes,no,no,yes,2,furnished
London,"£742,000",3,2,yes,yes,no,yes,2,furnished
London,"£735,000",3,2,yes,no,no,yes,1,semi-furnished
London,"£689,500",3,1,yes,no,yes,no,2,semi-furnished
East,"£675,500",3,2,yes,yes,yes,yes,2,unfurnished
Northeast,"£672,000",3,1,yes,yes,yes,yes,1,furnished
London,"£651,000",3,2,yes,yes,yes,yes,1,furnished
North,"£647,500",3,2,yes,no,no,yes,2,furnished
London,"£629,300",4,2,yes,yes,yes,yes,2,furnished
Southeast,"£626,500",3,2,yes,yes,yes,yes,0,semi-furnished
North,"£623,000",3,1,yes,no,no,no,1,semi-furnished
Northeast,"£623,000",5,2,yes,no,yes,no,2,unfurnished
Northwest,"£616,000",4,2,yes,no,yes,yes,1,semi-furnished
Northeast,"£612,500",3,2,yes,no,no,yes,2,unfurnished
East,"£609,000",3,1,yes,no,no,yes,2,semi-furnished
East,"£602,000",4,2,yes,no,no,yes,1,furnished
Southeast,"£588,000",3,3,yes,yes,yes,no,1,unfurnished
East,"£588,000",5,1,yes,yes,yes,yes,1,furnished
East,"£586,600",3,2,yes,no,no,yes,2,furnished
Northeast,"£581,000",3,2,yes,no,no,no,1,furnished
North,"£577,500",4,2,yes,no,no,yes,2,furnished
Southeast,"£574,000",3,1,yes,yes,no,yes,2,unfurnished
Southeast,"£574,000",4,2,yes,no,no,yes,1,semi-furnished
London,"£560,000",3,1,yes,no,yes,yes,0,furnished
London,"£560,000",3,2,yes,no,no,yes,0,furnished
London,"£538,300",3,2,yes,no,no,yes,2,unfurnished
Southeast,"£532,000",4,2,yes,no,no,no,2,semi-furnished
Southeast,"£525,000",4,2,yes,no,no,yes,1,furnished
Southeast,"£525,000",3,2,yes,no,no,yes,0,semi-furnished
Southeast,"£525,000",3,2,yes,no,no,yes,1,furnished
London,"£511,000",3,1,yes,no,no,yes,3,furnished
London,"£507,500",3,2,yes,no,yes,no,1,unfurnished
Northeast,"£490,000",3,2,yes,yes,yes,yes,0,semi-furnished
Northeast,"£486,500",3,2,yes,no,no,no,1,unfurnished
London,"£483,000",3,1,yes,no,no,yes,1,unfurnished
Southeast,"£479,500",4,2,yes,yes,no,yes,1,furnished
Southwest,"£476,000",3,2,yes,no,no,yes,2,semi-furnished
Southeast,"£462,000",3,2,yes,yes,no,yes,1,semi-furnished
Southeast,"£455,000",3,1,yes,no,no,yes,1,unfurnished
Northwest,"£455,000",4,1,yes,no,yes,no,1,semi-furnished
North,"£448,000",4,2,yes,yes,no,yes,1,furnished
Northeast,"£440,300",4,2,yes,yes,no,yes,1,semi-furnished
Southeast,"£437,500",3,2,yes,yes,no,yes,1,furnished
Southeast,"£427,000",3,2,yes,yes,no,no,1,semi-furnished
North,"£427,000",2,1,yes,no,no,yes,1,semi-furnished
Southeast,"£420,000",4,2,yes,no,no,yes,1,furnished
London,"£420,000",4,2,yes,no,no,yes,2,furnished
Northwest,"£420,000",3,1,yes,no,yes,yes,1,furnished
North,"£420,000",3,2,yes,no,yes,yes,1,furnished
West,"£420,000",2,1,yes,no,yes,no,1,furnished
Northeast,"£420,000",3,2,yes,no,no,no,2,unfurnished
Southeast,"£406,000",3,1,yes,no,no,yes,1,furnished
Northwest,"£406,000",4,2,yes,no,no,no,2,furnished
South,"£399,000",3,2,yes,no,yes,yes,0,semi-furnished
Southeast,"£399,000",4,2,yes,no,no,yes,0,unfurnished
Southwest,"£392,000",3,1,yes,no,no,yes,0,unfurnished
London,"£383,600",2,2,yes,no,yes,no,0,furnished
South,"£378,000",3,1,yes,no,yes,no,1,furnished
South,"£371,000",4,2,yes,no,no,no,0,semi-furnished
London,"£367,500",3,2,yes,no,no,yes,0,furnished
London,"£364,000",3,2,yes,no,no,yes,0,furnished
Northwest,"£364,000",3,1,yes,yes,yes,yes,2,furnished
Southeast,"£363,300",3,2,yes,yes,no,yes,0,furnished
Southeast,"£357,000",3,1,yes,no,no,no,1,semi-furnished
South,"£353,500",3,2,yes,no,yes,yes,1,semi-furnished
Northwest,"£350,000",3,2,yes,no,yes,yes,1,furnished
Southeast,"£350,000",3,2,yes,no,no,yes,0,semi-furnished
North,"£350,000",3,1,yes,no,no,no,2,semi-furnished
North,"£350,000",3,2,yes,no,no,yes,0,furnished
East,"£350,000",3,1,yes,no,yes,no,0,unfurnished
Northeast,"£350,000",3,1,yes,no,yes,no,2,semi-furnished
East,"£350,000",3,1,yes,yes,yes,yes,2,unfurnished
North,"£350,000",5,3,yes,no,no,no,2,furnished
Southwest,"£350,000",3,1,yes,no,no,yes,0,semi-furnished
East,"£350,000",2,1,yes,yes,yes,no,2,furnished
East,"£349,300",3,2,yes,yes,no,yes,0,furnished
East,"£346,500",3,2,yes,no,yes,yes,3,semi-furnished
Southeast,"£346,500",4,2,yes,no,no,no,1,semi-furnished
South,"£343,000",3,2,yes,no,no,yes,2,semi-furnished
North,"£343,000",3,1,yes,no,yes,no,1,furnished
London,"£343,000",3,1,yes,yes,yes,yes,1,semi-furnished
London,"£343,000",3,2,yes,no,no,yes,0,unfurnished
Southeast,"£343,000",4,1,yes,yes,yes,no,0,unfurnished
London,"£342,300",3,2,yes,no,yes,yes,0,unfurnished
Northwest,"£339,500",3,1,yes,no,no,no,1,unfurnished
Northwest,"£336,000",3,2,yes,yes,no,yes,1,semi-furnished
London,"£336,000",3,2,yes,yes,no,yes,0,furnished
Northwest,"£336,000",3,2,yes,yes,yes,no,2,furnished
London,"£336,000",3,1,yes,no,no,yes,0,unfurnished
Northwest,"£336,000",4,2,yes,no,yes,yes,0,semi-furnished
London,"£332,500",3,1,yes,no,yes,no,0,unfurnished
East,"£332,500",4,1,yes,no,no,no,1,semi-furnished
London,"£329,000",4,2,yes,yes,no,no,1,semi-furnished
London,"£329,000",3,1,yes,yes,yes,no,2,semi-furnished
North,"£329,000",3,1,yes,no,no,yes,2,unfurnished
London,"£329,000",6,2,yes,no,no,no,0,furnished
North,"£325,500",3,1,yes,no,yes,no,2,furnished
East,"£323,400",2,1,yes,yes,yes,no,2,furnished
Northeast,"£322,000",3,1,yes,yes,yes,yes,2,semi-furnished
East,"£322,000",3,2,yes,yes,yes,no,0,unfurnished
North,"£322,000",4,1,yes,yes,no,yes,0,furnished
London,"£315,000",3,1,yes,no,yes,yes,0,furnished
East,"£315,000",3,1,yes,no,yes,yes,2,semi-furnished
London,"£315,000",3,1,yes,yes,yes,no,2,furnished
East,"£314,300",3,1,yes,yes,yes,yes,0,semi-furnished
London,"£312,900",4,2,yes,no,yes,no,1,semi-furnished
East,"£311,500",4,2,yes,no,no,no,0,furnished
London,"£311,500",3,2,yes,no,no,no,1,furnished
West,"£311,500",3,1,yes,no,no,yes,2,semi-furnished
East,"£308,700",3,1,yes,no,yes,no,2,unfurnished
London,"£308,000",3,2,yes,no,no,yes,0,unfurnished
Northwest,"£308,000",3,1,yes,yes,no,yes,1,furnished
Northwest,"£304,500",3,1,yes,no,no,no,2,semi-furnished
East,"£301,000",3,1,yes,yes,yes,no,0,unfurnished
Southeast,"£301,000",4,1,yes,yes,no,no,0,semi-furnished
Northwest,"£300,300",3,1,yes,no,no,yes,0,semi-furnished
East,"£297,500",3,1,yes,no,no,yes,0,unfurnished
East,"£294,000",3,1,yes,no,yes,no,2,semi-furnished
Southeast,"£294,000",3,2,yes,no,no,yes,0,unfurnished
Northwest,"£294,000",4,2,yes,no,no,yes,2,unfurnished
East,"£294,000",4,1,yes,no,no,no,1,semi-furnished
Southwest,"£294,000",3,1,yes,no,no,yes,0,semi-furnished
London,"£287,000",3,1,yes,yes,yes,yes,2,furnished
Southeast,"£287,000",3,2,yes,no,no,yes,0,unfurnished
East,"£287,000",4,2,yes,yes,yes,no,1,semi-furnished
Northwest,"£285,250",4,2,yes,no,no,no,1,semi-furnished
East,"£283,500",5,2,no,no,yes,no,0,unfurnished
East,"£280,000",4,1,yes,yes,yes,yes,1,furnished
Southwest,"£273,000",3,1,yes,no,no,no,0,furnished
Northwest,"£273,000",2,1,yes,no,no,no,1,semi-furnished
Northwest,"£269,500",3,2,yes,no,no,no,1,semi-furnished
London,"£266,000",3,1,yes,no,no,no,0,semi-furnished
London,"£266,000",4,2,yes,no,yes,no,0,semi-furnished
Southwest,"£266,000",3,1,yes,yes,yes,yes,0,unfurnished
London,"£266,000",4,1,yes,no,no,yes,2,semi-furnished
Northwest,"£265,300",5,1,yes,yes,yes,yes,0,furnished
East,"£265,300",3,3,yes,no,yes,no,0,semi-furnished
North,"£260,400",3,2,yes,no,no,no,2,semi-furnished
Southeast,"£259,000",3,2,yes,no,yes,no,2,furnished
East,"£259,000",3,1,yes,yes,yes,no,0,semi-furnished
Southwest,"£252,000",4,2,no,yes,yes,no,1,furnished
Northeast,"£252,000",3,1,yes,no,no,no,2,semi-furnished
East,"£248,500",3,2,yes,yes,yes,yes,0,furnished
Southeast,"£245,000",4,1,yes,yes,no,yes,0,furnished
Southeast,"£245,000",3,1,yes,yes,no,yes,0,semi-furnished
London,"£245,000",4,2,yes,yes,yes,no,0,semi-furnished
East,"£245,000",3,1,yes,yes,yes,yes,0,semi-furnished
East,"£245,000",3,2,yes,yes,yes,no,1,furnished
London,"£245,000",3,2,yes,yes,yes,no,0,unfurnished
Northeast,"£240,800",3,1,yes,no,yes,yes,2,unfurnished
London,"£238,000",2,2,yes,no,no,yes,2,semi-furnished
South,"£234,500",4,1,yes,no,yes,yes,0,furnished
London,"£231,000",4,2,no,no,no,yes,0,semi-furnished
Northwest,"£227,500",3,2,yes,no,yes,no,0,semi-furnished
Northwest,"£227,500",3,1,yes,no,no,no,1,semi-furnished
North,"£224,000",3,1,yes,yes,yes,yes,2,unfurnished
Northwest,"£223,300",4,2,yes,no,no,yes,0,unfurnished
North,"£213,500",3,1,yes,yes,yes,no,1,unfurnished
Northwest,"£210,000",4,2,yes,yes,no,no,2,semi-furnished
North,"£210,000",3,1,yes,no,no,yes,2,furnished
Southeast,"£210,000",3,1,yes,no,yes,no,0,semi-furnished
East,"£196,000",3,1,yes,yes,yes,no,2,semi-furnished
East,"£189,000",3,2,yes,no,no,no,2,semi-furnished
London,"£189,000",4,2,no,no,yes,yes,2,semi-furnished
East,"£185,500",3,1,yes,yes,yes,no,1,furnished
Southwest,"£182,000",3,1,no,no,no,yes,0,semi-furnished
Northeast,"£175,000",3,1,yes,no,no,no,1,semi-furnished
West,"£175,000",3,2,yes,yes,yes,no,0,furnished
West,,3,1,yes,no,yes,no,0,unfurnished
Northwest,,2,1,yes,no,no,no,0,furnished
Southeast,,3,1,yes,no,yes,yes,0,semi-furnished
Northwest,,2,1,yes,no,no,yes,0,unfurnished
Southwest,,2,1,no,yes,yes,no,0,semi-furnished
Northeast,,4,1,yes,no,no,yes,2,furnished
Northwest,,3,1,yes,yes,yes,no,0,semi-furnished
London,,3,1,yes,yes,yes,no,0,furnished
East,,2,1,yes,yes,yes,no,0,semi-furnished
North,,3,2,yes,yes,yes,no,0,semi-furnished
London,,4,3,yes,no,yes,no,2,semi-furnished
Northeast,,3,1,yes,yes,yes,no,0,semi-furnished
Southwest,,3,2,no,no,yes,yes,1,semi-furnished
Southeast,,3,1,yes,no,no,yes,0,semi-furnished
South,,3,1,yes,no,no,no,1,furnished
London,,3,1,yes,no,yes,yes,0,semi-furnished
South,,3,1,no,yes,yes,yes,0,semi-furnished
South,,2,1,yes,no,yes,no,1,semi-furnished
Northwest,,4,1,yes,no,no,no,0,semi-furnished
East,,3,1,yes,yes,yes,no,0,semi-furnished
London,,3,1,yes,no,no,yes,2,semi-furnished
Southeast,,2,1,yes,yes,yes,yes,0,semi-furnished
West,,3,1,yes,no,yes,yes,0,semi-furnished
West,,3,1,yes,no,no,no,0,semi-furnished
East,,3,1,yes,no,no,no,0,unfurnished
East,,3,1,yes,yes,yes,no,2,semi-furnished
West,,3,1,yes,no,no,no,2,furnished
Southwest,,4,2,yes,no,yes,yes,2,semi-furnished
Southwest,,4,2,yes,no,yes,no,0,semi-furnished
London,,2,1,yes,no,yes,no,0,unfurnished
South,,3,1,yes,no,no,no,0,unfurnished
Southeast,,3,1,yes,no,no,no,2,semi-furnished
East,,3,1,yes,no,no,yes,2,furnished
East,,2,1,yes,no,no,yes,0,semi-furnished
East,,3,1,yes,no,yes,no,0,unfurnished
North,,4,1,yes,no,yes,yes,2,semi-furnished
Southwest,,4,2,yes,no,no,no,0,semi-furnished
North,,2,1,yes,no,yes,yes,2,semi-furnished
London,,3,1,yes,no,yes,yes,1,furnished
Northwest,,2,1,yes,no,no,yes,2,unfurnished
London,,2,1,yes,no,no,yes,3,semi-furnished
Northwest,,3,1,yes,no,no,yes,0,semi-furnished
Southeast,,2,1,yes,no,yes,yes,1,furnished
North,,3,1,yes,no,no,no,2,semi-furnished
Northwest,,4,2,yes,yes,yes,no,1,semi-furnished
Northwest,,2,1,yes,no,no,no,0,semi-furnished
London,,3,1,yes,no,no,no,0,semi-furnished
North,,3,1,yes,no,yes,no,0,furnished
South,,3,1,yes,yes,yes,yes,0,unfurnished
Northeast,,3,2,yes,no,yes,no,2,semi-furnished
Northwest,,3,1,yes,yes,no,yes,1,semi-furnished
West,,2,1,yes,yes,yes,no,0,semi-furnished
Southwest,,3,1,yes,no,yes,no,0,semi-furnished
London,,4,2,yes,no,yes,no,0,semi-furnished
South,,3,1,yes,no,no,no,1,furnished
Northeast,,3,1,yes,no,no,no,1,semi-furnished
North,,3,1,yes,no,no,no,2,semi-furnished
North,,3,1,yes,no,no,yes,0,furnished
London,,3,1,yes,no,yes,no,0,furnished
Northwest,,3,1,yes,yes,yes,no,0,semi-furnished
Northwest,,3,1,yes,no,no,no,2,unfurnished
Southwest,,3,1,yes,no,no,no,0,semi-furnished
North,,4,1,yes,no,no,no,3,unfurnished
South,,2,2,yes,yes,yes,no,0,semi-furnished
